ticker_symbol,co_name,unique_earnings_code,factset_sector_num,factset_ind_num,calendar_qtr,fiscal_qtr,adtv_prev_month,report_date,report_day_of week,qtr_end_date,pre_rpt_recent_eps_est,1m_ago_eps_est,3m_ago_eps_est,qtr_end_eps_ntm,qtr_end_sh_px,pre_rpt_eps_ntm,pre_rpt_sh_px,3m_ago_eps_ntm,3m_ago_sh_px,lt_mome_F,3m_mome_F,1m_mome_F,mkt_12-1m_rtn,mkt_3m_rtn,mkt_1m_rtn,pre_rpt_si_days_F,1m_ago_si_days,3m_ago_si_days,pre_rpt_si_pct_F,1m_ago_si_pct,3m_ago_si_pct,pre_rpt_tgt_px,tgt_px_3m_ago,pre_rpt_an_rtg_F,an_rtg_3m_ago,pre_rpt_an_rtg_sd_F,sales_fy-1,sales_fy0,sales_fy1,qtr_end_eps_yld,eps_yld_F,3m_ago_eps_yld,mult_exp_F,rel_lt_mome_F,rel_3m_mome_F,rel_1m_mome_F,si_days_1m_delta_F,si_days_3m_delta_F,si_pct_1m_delta_F,si_pct_3m_delta_F,3m_delta_an_rtg_F,pre_rpt_rtn_to_tgt_F,3m_delta_tgt_px_F,1m_est_delta_F,3m_est_delta_F,proj_2yr_rev_gr_F,t-1,t+3,t-7,t-364,t-28,t-35,t-91
KND,"Kindred Healthcare, Inc.",KND.3Q17,3350,3360,3Q17,2017/3F,10.9,11/07/2017,2,9/30/2017,-0.19,-0.10,0.09,0.585,6.8,0.585,6.05,0.675,7.65,-1.6260147,-20.915031,-15.384615,19.48663,4.211509,1.4943361,7.4,3.4,6.7,7.680351201,7.457077431,7.355732381,7.8,9.3,2.21,2.19,0.3933979,7054.9,7219.51,6035.26,0.086,0.097,0.088,-0.008,-21.113,-25.127,-16.879,1.17410027,0.10930453,0.02994119,0.044131407,0.03,28.10,19.82,81.083,-318.899,-14.45293342,11/6/2017,11/10/2017,10/31/2017,11/8/2016,10/10/2017,10/3/2017,8/8/2017
AVAV,"AeroVironment, Inc.",AVAV.3Q17,1300,1330,3Q17,2017/2F,15.4,12/06/2017,3,9/30/2017,-0.02,-0.04,-0.01,0.683,54.12,0.717,44.99,0.672,49.11,62.599564,-8.38933,-11.541486,14.975023,6.916249,1.981175,6.6,6.6,3.4,5.95051015,6.769571538,7.48888842,41.0,38.6,2.00,2.00,0,264.098,264.873,300.1,0.013,0.016,0.014,-0.002,47.625,-15.306,-13.523,0,0.981457312,-0.120991614,-0.205421444,0.00,-8.87,-5.85,-44.444,42.857,13.63206083,12/5/2017,12/11/2017,11/29/2017,12/7/2016,11/8/2017,11/1/2017,9/6/2017
WLL,Whiting Petroleum Corporation,WLL.3Q17,2100,2105,3Q17,2017/3F,99.1,10/26/2017,4,9/30/2017,-0.78,-0.81,-0.83,-2.436,21.84,-2.275,20.12,-2.487,20.2,-36.655205,-0.3960371,-2.140069,18.045748,3.506267,2.5930762,3.8,5.7,3.4,18.65461092,24.16079757,19.84697657,30.4,34.7,1.82,1.76,0.6939266,2050.79,1284.98,1399.0658,-0.112,-0.113,-0.123,-0.010,-54.701,-3.902,-4.733,-0.332842345,0.113214267,-0.227897553,-0.06007795,0.06,51.06,14.16,-3.920,-6.677,-31.77917778,10/25/2017,10/31/2017,10/19/2017,10/27/2016,9/28/2017,9/21/2017,7/27/2017
WWE,"World Wrestling Entertainment, Inc. Class A",WWE.3Q17,3400,3430,3Q17,2017/3F,10.9,10/26/2017,4,9/30/2017,0.19,0.19,0.21,0.587,23.55,0.597,22.62,0.559,21.89,20.292114,3.334868,0.53334236,18.045748,3.506267,2.5930762,14.7,15.1,19.8,14.52306909,15.33367804,17.97441774,23.0,23.0,1.50,1.50,0.5188745,658.8,729.2,788.5684,0.025,0.026,0.026,-0.001,2.246,-0.171,-2.060,-0.025933868,-0.258389786,-0.052864612,-0.192014489,0.00,1.68,0.00,-2.154,-7.482,19.69769277,10/25/2017,10/31/2017,10/19/2017,10/27/2016,9/28/2017,9/21/2017,7/27/2017
BIO,"Bio-Rad Laboratories, Inc. Class A",BIO.3Q17,2300,2325,3Q17,2017/3F,37.1,11/03/2017,5,9/30/2017,0.38,0.54,0.54,4.065,222.22,4.214,222.11,3.816,227.31,37.34368,-2.2876263,-0.049501657,22.535288,4.3555856,2.4124265,4.4,4.4,5.3,3.937378137,3.609892947,3.356110617,262.0,256.3,1.13,1.13,0.25,2019.44,2068.17,2145.4175,0.018,0.019,0.017,-0.002,14.808,-6.643,-2.462,0,-0.170975864,0.090718809,0.173196771,0.00,17.96,-2.19,-30.864,-30.864,6.238239314,11/2/2017,11/8/2017,10/27/2017,11/4/2016,10/6/2017,9/29/2017,8/4/2017
PCRX,"Pacira Pharmaceuticals, Inc.",PCRX.3Q17,2300,2310,3Q17,2017/3F,28.0,11/08/2017,3,9/30/2017,-0.06,-0.02,0.01,0.723,37.55,0.693,32.6,0.688,36.65,0.73206425,-11.050487,-10.192842,18.238008,4.432678,1.5052676,6.5,8.8,2.5,13.42405023,12.48608304,7.819445146,52.3,56.8,1.44,1.31,0.6291529,248.997,276.371,289.27084,0.019,0.021,0.019,-0.003,-17.506,-15.483,-11.698,-0.257097571,1.608789997,0.075121012,0.716752273,0.13,60.39,8.54,223.077,-653.846,16.1744278,11/7/2017,11/13/2017,11/1/2017,11/9/2016,10/11/2017,10/4/2017,8/9/2017
TREE,"LendingTree, Inc.",TREE.3Q17,4800,4830,3Q17,2017/3F,40.5,10/26/2017,4,9/30/2017,0.79,0.77,0.81,3.521,244.45,3.582,228.35,3.326,217.15,217.24408,5.157733,-9.438819,18.045748,3.506267,2.5930762,6.7,10.2,9.1,18.50377324,17.3818663,19.14933205,236.0,235.6,1.20,1.05,0.6324555,254.216,384.402,586.90765,0.014,0.016,0.015,0.000,199.198,1.651,-12.032,-0.341215011,-0.261302559,0.064544676,-0.033711819,0.15,3.35,-0.19,2.767,-2.437,130.8696738,10/25/2017,10/31/2017,10/19/2017,10/27/2016,9/28/2017,9/21/2017,7/27/2017
SPLK,Splunk Inc.,SPLK.3Q17,3300,3308,3Q17,2017/3F,91.9,11/17/2017,5,9/30/2017,0.14,0.14,0.15,0.719,66.43,0.752,69.74,0.661,59.33,7.0307255,17.545927,9.740364,17.608665,6.6420674,1.0020018,7.6,8.4,11.6,8.030476765,8.864921111,9.734907574,74.8,72.4,1.27,1.31,0.43057507,668.435,949.955,1214.9205,0.011,0.011,0.011,0.000,-10.578,10.904,8.738,-0.099224309,-0.347694886,-0.094128795,-0.175084437,-0.04,7.30,-3.27,1.470,-7.063,81.7559673,11/16/2017,11/22/2017,11/10/2017,11/18/2016,10/20/2017,10/13/2017,8/18/2017
SPWR,SunPower Corporation,SPWR.3Q17,1200,1235,3Q17,2017/3F,30.2,11/02/2017,4,9/30/2017,-0.37,-0.39,-0.31,-0.268,7.29,-0.159,6.68,-0.280,8.88,12.187492,-24.774778,-7.734805,22.51526,3.7527204,1.9733906,3.6,7.1,3.7,22.84176925,21.93656884,25.85884699,9.1,9.5,1.96,1.84,0.5705694,2612.65,2702.86,2102.445,-0.037,-0.024,-0.032,-0.008,-10.328,-28.527,-9.708,-0.499585626,-0.030832826,0.041264448,-0.116674875,0.12,35.87,4.55,-4.478,20.004,-19.52825675,11/1/2017,11/7/2017,10/26/2017,11/3/2016,10/5/2017,9/28/2017,8/3/2017
TWTR,"Twitter, Inc.",TWTR.3Q17,3300,3320,3Q17,2017/3F,254.8,10/26/2017,4,9/30/2017,0.07,0.06,0.07,0.331,16.87,0.333,17.89,0.359,16.84,-3.1609178,6.2351465,1.7633677,18.045748,3.506267,2.5930762,5.4,5.5,3.5,7.879149291,9.097014386,9.600199728,15.9,16.1,2.26,2.21,0.5337359,2218.03,2529.61,2403.3545,0.020,0.019,0.021,0.003,-21.207,2.729,-0.830,-0.011268509,0.558544257,-0.133875252,-0.179272357,0.05,-10.96,0.82,7.078,-0.132,8.355364896,10/25/2017,10/31/2017,10/19/2017,10/27/2016,9/28/2017,9/21/2017,7/27/2017
NTAP,"NetApp, Inc.",NTAP.3Q17,1300,1345,3Q17,2017/2F,128.4,11/16/2017,4,9/30/2017,0.69,0.69,0.69,3.202,43.76,3.256,46.3,3.170,39.56,19.94579,17.037403,6.6328883,16.774834,6.529236,1.1556745,5.6,3.7,2.7,4.787279606,3.856923702,3.514500994,47.2,45.9,1.64,1.77,0.61086226,5546,5519,5695.4526,0.073,0.070,0.080,0.010,3.171,10.508,5.477,0.504882317,1.067140397,0.241217088,0.362150591,-0.14,2.03,-2.81,0.318,0.583,2.694781825,11/15/2017,11/21/2017,11/9/2017,11/17/2016,10/19/2017,10/12/2017,8/17/2017
QCOM,QUALCOMM Incorporated,QCOM.3Q17,1300,1320,3Q17,2017/4F,440.8,11/02/2017,4,9/30/2017,0.81,0.81,0.81,3.570,51.84,3.624,53.8,3.684,52.95,-21.80732,1.6052842,3.9613485,22.51526,3.7527204,1.9733906,3.2,3.5,2.2,1.574427661,1.4978628,1.676715616,60.2,61.5,1.57,1.59,0.49426916,25277,23507,23114.813,0.069,0.067,0.070,0.002,-44.323,-2.147,1.988,-0.082079928,0.480790768,0.05111607,-0.061004952,-0.02,11.90,2.15,-0.255,-0.430,-8.553970012,11/1/2017,11/7/2017,10/26/2017,11/3/2016,10/5/2017,9/28/2017,8/3/2017
TEAM,Atlassian Corp. Plc Class A,TEAM.3Q17,3300,3308,3Q17,2018/1F,19.2,10/20/2017,5,9/30/2017,0.09,0.09,0.11,0.475,35.15,0.482,39.64,0.483,35.75,21.108807,10.881114,9.654212,16.872478,3.2524467,2.3299932,8.0,7.6,4.7,5.493660813,4.021294035,3.714092327,41.5,37.6,1.41,1.47,0.4905354,457.058,619.936,831.0797,0.014,0.012,0.013,0.001,4.236,7.629,7.324,0.057832567,0.690906582,0.366142531,0.479139539,-0.06,4.69,-9.44,-0.464,-19.054,81.83243702,10/19/2017,10/25/2017,10/13/2017,10/21/2016,9/22/2017,9/15/2017,7/21/2017
TREX,"Trex Company, Inc.",TREX.3Q17,1100,1130,3Q17,2017/3F,17.5,10/31/2017,2,9/30/2017,0.27,0.28,0.28,1.645,45.035,1.659,45.625,1.597,38.69,65.52112,17.924536,6.7501187,20.405674,3.793633,2.933097,5.8,6.3,5.9,4.812302058,4.921583633,5.027025229,39.6,38.9,1.71,1.67,0.48795003,440.804,479.616,543.71,0.037,0.036,0.041,0.005,45.115,14.131,3.817,-0.084222654,-0.022976778,-0.022204555,-0.042713764,0.05,-13.27,-1.60,-1.134,-1.109,23.34506946,10/30/2017,11/3/2017,10/24/2017,11/1/2016,10/3/2017,9/26/2017,8/1/2017
IGT,International Game Technology PLC,IGT.3Q17,3400,3445,3Q17,2017/3F,37.3,11/14/2017,2,9/30/2017,0.23,0.26,0.25,1.396,24.55,1.400,23.79,1.402,19.85,-21.418959,19.848871,-0.8749962,17.009485,5.252695,1.3887167,2.0,1.6,1.4,3.762040208,3.327067424,2.617797334,28.4,26.0,1.36,1.50,0.47559488,4689.05,5153.89,4804.416,0.057,0.059,0.071,0.012,-38.428,14.596,-2.264,0.206212512,0.390348048,0.130737592,0.437101398,-0.14,19.46,-8.44,-9.112,-7.958,2.460327785,11/13/2017,11/17/2017,11/7/2017,11/15/2016,10/17/2017,10/10/2017,8/15/2017
FSLR,"First Solar, Inc.",FSLR.3Q17,1300,1310,3Q17,2017/3F,104.9,10/27/2017,5,9/30/2017,0.86,0.78,0.77,1.624,45.88,1.581,47.73,1.622,48.87,12.865925,-2.3327172,-7.158142,18.800236,4.2098045,3.0189514,1.5,7.7,5.0,7.452236595,13.93549498,14.84636096,55.0,50.7,1.56,1.61,0.51131,3578.99,2951.32,3035.7542,0.035,0.033,0.033,0.000,-5.934,-6.543,-10.177,-0.807266287,-0.702637502,-0.465233449,-0.498042879,-0.05,15.33,-7.84,10.795,11.735,-15.17846655,10/26/2017,11/1/2017,10/20/2017,10/28/2016,9/29/2017,9/22/2017,7/28/2017
NVCR,Novocure Ltd.,NVCR.3Q17,2300,2325,3Q17,2017/3F,18.8,10/26/2017,4,9/30/2017,-0.22,-0.21,-0.19,-0.499,19.85,-0.474,18.15,-0.504,20.4,238.44913,-11.02941,-15.972227,18.045748,3.506267,2.5930762,5.3,8.4,6.0,8.586230524,11.61610154,12.82954443,24.8,23.0,1.17,1.17,0.4082483,33.087,82.888,167.47267,-0.025,-0.026,-0.025,0.001,220.403,-14.536,-18.565,-0.367747717,-0.116172083,-0.260833723,-0.330745486,0.00,36.82,-7.38,5.769,18.280,406.1585215,10/25/2017,10/31/2017,10/19/2017,10/27/2016,9/28/2017,9/21/2017,7/27/2017
PRAA,PRA Group Inc,PRAA.3Q17,3200,3205,3Q17,2017/3F,18.5,11/09/2017,4,9/30/2017,0.29,0.32,0.46,1.778,28.65,1.548,27.95,2.117,33.2,-4.8859954,-15.813255,-3.119582,17.740572,6.005144,0.9874463,22.4,9.2,20.0,19.37899119,16.46576427,17.05705807,34.7,40.0,2.00,1.56,0.8164966,942.018,830.58,801.3797,0.062,0.055,0.064,0.008,-22.627,-21.818,-4.107,1.428042667,0.123885031,0.176926311,0.136127409,0.44,24.03,15.38,-10.132,-37.102,-14.92947056,11/8/2017,11/14/2017,11/2/2017,11/10/2016,10/12/2017,10/5/2017,8/10/2017
GMED,"Globus Medical, Inc. Class A",GMED.3Q17,2300,2325,3Q17,2017/3F,19.9,11/09/2017,4,9/30/2017,0.30,0.30,0.30,1.360,29.72,1.364,31.1,1.345,28.78,34.508347,8.061147,-0.12844801,17.740572,6.005144,0.9874463,15.2,12.6,16.5,11.58677476,12.51788324,12.63893585,32.9,32.9,1.73,1.71,0.6650622,544.753,563.994,624.2376,0.046,0.044,0.047,0.003,16.768,2.056,-1.116,0.213000834,-0.073457321,-0.074382263,-0.083247601,0.02,5.93,0.00,-1.129,-1.364,14.59094305,11/8/2017,11/14/2017,11/2/2017,11/10/2016,10/12/2017,10/5/2017,8/10/2017
PLNT,"Planet Fitness, Inc. Class A",PLNT.3Q17,3400,3450,3Q17,2017/3F,29.8,11/08/2017,3,9/30/2017,0.16,0.16,0.17,0.897,26.98,0.916,26.51,0.863,23.04,15.718627,15.060759,0.91358423,18.238008,4.432678,1.5052676,20.6,13.8,14.6,15.57426088,17.4870092,21.31186516,28.1,25.0,1.14,1.13,0.3233349,330.537,378.241,415.5432,0.033,0.035,0.037,0.003,-2.519,10.628,-0.592,0.495567991,0.406243968,-0.109381101,-0.269221123,0.01,6.00,-11.03,-3.385,-8.324,25.71760499,11/7/2017,11/13/2017,11/1/2017,11/9/2016,10/11/2017,10/4/2017,8/9/2017
AMWD,American Woodmark Corporation,AMWD.3Q17,1200,1230,3Q17,2017/2F,10.2,12/01/2017,5,9/30/2017,1.20,1.20,1.28,5.067,96.25,5.086,95.85,5.039,83.45,24.932789,14.8592,-4.1020513,17.466545,5.346298,0.85713863,4.5,2.8,1.4,2.172874667,2.238077891,1.65920935,108.0,102.0,1.50,1.50,0.5,947.045,1030.24,1101.1,0.053,0.053,0.060,0.007,7.466,9.513,-4.959,0.574417536,2.099123759,-0.029133581,0.309584391,0.00,12.68,-5.56,0.000,-6.641,16.26691445,11/30/2017,12/6/2017,11/24/2017,12/2/2016,11/3/2017,10/27/2017,9/1/2017
ANET,"Arista Networks, Inc.",ANET.3Q17,1300,1352,3Q17,2017/3F,133.5,11/03/2017,5,9/30/2017,1.17,1.18,1.16,5.371,189.61,5.483,195.65,5.058,172.05,131.58083,13.716936,3.1854868,22.535288,4.3555856,2.4124265,4.0,4.0,6.6,6.471685582,6.673137002,9.152559357,187.4,171.0,1.44,1.46,0.5066228,837.591,1129.16,1603.5155,0.028,0.028,0.029,0.001,109.046,9.361,0.773,0,-0.401721796,-0.030188414,-0.292909739,-0.02,-4.22,-8.73,-1.129,1.286,91.44373567,11/2/2017,11/8/2017,10/27/2017,11/4/2016,10/6/2017,9/29/2017,8/4/2017
ORBK,Orbotech Ltd.,ORBK.3Q17,1300,1355,3Q17,2017/3F,11.8,11/01/2017,3,9/30/2017,0.81,0.83,0.82,3.053,42.21,3.077,44.22,2.972,37.24,48.14943,18.743288,6.760025,21.35216,3.3476949,1.9400477,0.4,0.3,0.7,0.296560191,0.334940121,0.48770921,42.4,41.6,1.00,1.00,0,752.517,806.402,869.5,0.072,0.070,0.080,0.010,26.797,15.396,4.820,0.203378466,-0.444256163,-0.114587436,-0.391932355,0.00,-4.05,-2.02,-2.911,-0.874,15.54556243,10/31/2017,11/6/2017,10/25/2017,11/2/2016,10/4/2017,9/27/2017,8/2/2017
AAOI,"Applied Optoelectronics, Inc.",AAOI.3Q17,1300,1320,3Q17,2017/3F,250.2,11/08/2017,3,9/30/2017,1.02,1.31,1.31,5.603,64.67,4.678,38.97,5.523,67.47,160.89172,-42.240993,-34.42705,18.238008,4.432678,1.5052676,5.9,4.5,1.9,65.95987545,71.76831145,48.66896316,63.1,85.7,1.56,1.44,0.8819171,189.903,260.713,400.5562,0.087,0.120,0.082,-0.038,142.654,-46.674,-35.932,0.312786411,2.098621684,-0.080933157,0.355275953,0.11,61.95,35.74,-22.424,-22.424,110.9267363,11/7/2017,11/13/2017,11/1/2017,11/9/2016,10/11/2017,10/4/2017,8/9/2017
WFT,Weatherford International plc,WFT.3Q17,3100,3110,3Q17,2017/3F,69.4,11/01/2017,3,9/30/2017,-0.25,-0.24,-0.23,-0.597,4.58,-0.556,3.36,-0.657,4.48,10.621762,-25,-25.333332,21.35216,3.3476949,1.9400477,7.2,12.5,7.6,13.00214994,14.8842774,14.73816537,5.8,6.0,1.32,1.36,0.47485808,9433,5749,5766.768,-0.130,-0.165,-0.147,0.019,-10.730,-28.348,-27.273,-0.420945911,-0.043535968,-0.126450711,-0.11779047,-0.03,73.82,3.33,4.128,6.837,-38.86602353,10/31/2017,11/6/2017,10/25/2017,11/2/2016,10/4/2017,9/27/2017,8/2/2017
SEDG,"SolarEdge Technologies, Inc.",SEDG.3Q17,1300,1305,3Q17,2017/3F,27.3,11/09/2017,4,9/30/2017,0.51,0.50,0.46,1.758,28.55,1.752,32.4,1.659,26.95,107.553955,20.222641,12.695658,17.740572,6.005144,0.9874463,5.6,7.0,6.3,11.22998738,15.90855395,13.7959672,30.5,29.2,1.36,1.33,0.6741999,325.0945,489.843,555.01514,0.062,0.054,0.062,0.007,89.813,14.217,11.708,-0.196705879,-0.104344087,-0.294091253,-0.18599492,0.03,-5.86,-4.32,0.579,9.668,70.72424787,11/8/2017,11/14/2017,11/2/2017,11/10/2016,10/12/2017,10/5/2017,8/10/2017
MU,"Micron Technology, Inc.",MU.3Q17,1300,1305,3Q17,2017/4F,943.2,09/27/2017,3,9/30/2017,1.84,1.81,1.58,7.236,39.33,6.398,35.97,5.149,32.24,81.25,11.569476,18.128086,12.87793,2.5629401,2.7928114,2.1,1.9,2.0,4.793400174,5.147786363,4.967142225,44.9,39.6,1.16,1.19,0.34635195,16192,12399,20170.861,0.184,0.178,0.160,-0.018,68.372,9.007,15.335,0.073986953,0.022988503,-0.068842443,-0.034978272,-0.04,24.76,-11.85,1.954,16.726,24.57300519,9/26/2017,10/2/2017,9/20/2017,9/28/2016,8/30/2017,8/23/2017,6/28/2017
FCN,"FTI Consulting, Inc.",FCN.3Q17,3200,3205,3Q17,2017/3F,14.2,10/26/2017,4,9/30/2017,0.55,0.59,0.59,2.029,35.48,2.041,36.7,1.992,31.97,-8.95257,14.795124,4.797256,18.045748,3.506267,2.5930762,9.2,6.3,5.2,7.190847327,6.42234418,4.138869653,34.3,34.3,2.00,2.00,0,1779.14,1810.39,1788.2,0.057,0.056,0.062,0.007,-26.998,11.289,2.204,0.466502443,0.762659079,0.119660847,0.737394006,0.00,-6.45,0.00,-7.173,-7.173,0.509234799,10/25/2017,10/31/2017,10/19/2017,10/27/2016,9/28/2017,9/21/2017,7/27/2017
